/node0/timestamp,/node0/temperature,/node0/humidity
1647372492.6729536,21.4,0.54
1647372497.8533425,21.4,0.54
1647372503.0755646,21.39,0.54
1647372508.2662382,21.37,0.54
1647372512.4192545,21.42,0.54
1647372517.6093798,21.42,0.54
1647372522.8148406,21.45,0.54
1647372528.0247037,21.42,0.54
1647372533.2191546,21.43,0.54
1647372538.409608,21.4,0.54
1647372542.5828848,21.4,0.54
1647372547.7772093,21.39,0.54
1647372552.9866724,21.39,0.54
1647372558.1850762,21.4,0.54
1647372563.3866687,21.42,0.54
1647372567.5492163,21.39,0.54
1647372572.7346323,21.36,0.54
1647372577.933609,21.39,0.54
1647372583.1427946,21.36,0.54
1647372588.3338706,21.35,0.54
1647372593.5397365,21.37,0.54
1647372597.6922717,21.39,0.54
1647372602.9048245,21.37,0.54
1647372608.0903935,21.36,0.54
1647372613.3094091,21.33,0.54
1647372618.5040815,21.33,0.55
1647372622.6793132,21.35,0.54
1647372627.8653061,21.35,0.54
1647372633.0536685,21.35,0.54
1647372638.2607396,21.35,0.55
1647372643.4701424,21.37,0.55
1647372648.6652684,21.36,0.54
1647372652.829661,21.36,0.54
1647372658.012578,21.39,0.54
1647372663.2198977,21.35,0.54
1647372668.429499,21.37,0.54
1647372673.6210775,21.4,0.54
1647372677.7836802,21.36,0.54
1647372682.9808023,21.36,0.54
1647372688.1787643,21.39,0.54
1647372693.3809128,21.39,0.54
1647372698.5812306,21.39,0.54
1647372703.7853127,21.4,0.54
1647372707.9347386,21.4,0.54
1647372713.1362212,21.37,0.54
1647372718.3424287,21.37,0.54
1647372723.5503662,21.4,0.54
1647372728.731185,21.4,0.54
1647372732.9093986,21.39,0.54
1647372738.099765,21.4,0.54
1647372743.3038287,21.39,0.54
1647372748.5021708,21.36,0.54
1647372753.7067583,21.36,0.54
1647372758.8999238,21.33,0.54
1647372763.0574195,21.35,0.54
1647372768.252039,21.36,0.54
1647372773.452453,21.37,0.54
1647372778.6695895,21.33,0.54
1647372783.8511527,21.36,0.54
1647372788.0111263,21.37,0.54
1647372793.2285523,21.37,0.54
1647372798.4211512,21.35,0.54
1647372803.627253,21.36,0.54
1647372808.827962,21.36,0.54
1647372814.025155,21.37,0.54
1647372818.1924434,21.39,0.54
1647372823.3808029,21.39,0.54
1647372828.5806284,21.37,0.54
1647372833.7877636,21.37,0.54
1647372838.988684,21.4,0.54
1647372843.1495063,21.4,0.54
1647372848.3337245,21.4,0.54
1647372853.5383406,21.39,0.54
1647372858.7455275,21.37,0.54
1647372863.94833,21.4,0.54
1647372868.0953429,21.4,0.54
1647372873.3008838,21.42,0.54
1647372878.5011573,21.4,0.54
1647372883.7048922,21.4,0.54
1647372888.9043612,21.43,0.54
1647372894.1013212,21.43,0.54
1647372898.2695856,21.47,0.54
1647372903.4604928,21.46,0.54
1647372908.6576657,21.42,0.54
1647372913.8653731,21.43,0.54
1647372919.07169,21.45,0.54
1647372923.221012,21.43,0.54
1647372928.4126475,21.42,0.54
1647372933.6209877,21.43,0.54
1647372938.8165026,21.43,0.54
1647372944.0348413,21.43,0.54
1647372949.2269797,21.42,0.54
1647372953.396878,21.4,0.54
1647372958.5886564,21.42,0.54
1647372963.7716827,21.4,0.54
1647372968.9921043,21.4,0.54
1647372974.1898627,21.42,0.54
1647372978.3425097,21.4,0.54
1647372983.542065,21.36,0.54
1647372988.7403264,21.39,0.54
1647372993.9413965,21.37,0.54
